rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes,rebalance_date,fwd_return_1m
1,2020-06-30,3041.TW,揚智 Ali Corp,semi_equipment,1.417,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.73,0.0,0.0,0.0,0.0,0.0,2.313,5,CAPEX context +0.50; residual alpha +3.73,,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.2636364166007592
2,2020-06-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-0.208,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.817,0.0,-0.0,0.0,0.0,0.0,1.025,2,CAPEX context +0.50; residual alpha +0.82,,revenue_not_confirmed(medium),2.5,,2020-06-30,-0.009346389648232423
3,2020-06-30,4755.TW,三福化工 San Fu Chemical,gases_chemicals,-0.268,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.871,0.0,-0.0,0.0,0.0,0.0,1.139,2,residual alpha +0.87,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.6635044142709401
4,2020-06-30,6202.TW,盛群 Holtek,semi_equipment,-0.29,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.371,0.0,-0.0,0.0,0.0,0.0,0.661,2,CAPEX context +0.50; residual alpha +0.37,valuation penalty -0.01,revenue_not_confirmed(medium),2.5,,2020-06-30,0.0839581654416135
5,2020-06-30,5347.TWO,世界先進 Vanguard,indirect,-0.579,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.417,0.0,-0.0,0.0,0.0,0.0,0.996,2,residual alpha +0.42,valuation penalty -0.08,revenue_not_confirmed(medium),2.5,,2020-06-30,0.273386464253484
6,2020-06-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.694,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.013,0.0,0.0,0.0,0.0,0.0,0.681,2,,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.11111195623390735
7,2020-06-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.177,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.426,0.0,-0.0,0.0,0.0,0.0,0.751,2,CAPEX context +0.50,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.02238820290089394
8,2020-06-30,4763.TW,材料-KY 國際應材,gases_chemicals,-1.192,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.575,0.0,-0.0,0.0,0.0,0.0,0.616,2,,valuation penalty -0.00,revenue_not_confirmed(medium),2.5,,2020-06-30,0.1050420542387398
9,2020-06-30,1721.TW,三晃 Sunko-Ink,gases_chemicals,-1.357,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.082,0.0,-0.0,0.0,0.0,0.0,1.439,2,residual alpha +0.08,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.029989773162728772
10,2020-06-30,3587.TW,閎康 Materials Analysis Technology,inspection,-1.575,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.048,0.0,-0.0,0.0,0.0,0.0,1.528,5,CAPEX context +0.50,,overbought(high); revenue_not_confirmed(medium),2.5,,2020-06-30,0.2140403754984146
11,2020-06-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-1.599,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.515,0.0,0.0,0.0,0.0,0.0,1.084,2,CAPEX context +0.50,valuation penalty -0.10,revenue_not_confirmed(medium),2.5,,2020-06-30,0.08561652776377349
12,2020-06-30,1727.TW,中華化學 China Chemical & Pharmaceutical,gases_chemicals,-1.652,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.16,0.0,0.0,0.0,0.0,0.0,1.492,2,,,revenue_not_confirmed(medium),2.5,,2020-06-30,0.046560887342959933
13,2020-06-30,2436.TW,偉詮電 Weltrend,semi_equipment,-1.683,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.071,0.0,-0.0,0.0,0.0,0.0,1.755,4,CAPEX context +0.50; residual alpha +0.07,valuation penalty -0.11,revenue_not_confirmed(medium); valuation_extreme(medium),2.5,,2020-06-30,0.12030091129600051
