universe_name,cost_bps,date,gross_return,net_return,benchmark_return,turnover,monthly_cost,gross_nav,net_nav,benchmark_nav
original,25.0,2020-06-30,0.0982663766906506,0.09576637669065059,0.16300494354759665,1.0,0.0025,1.0982663766906506,1.0957663766906507,1.1630049435475966
original,25.0,2020-07-31,0.04511918416794201,0.043619184167942006,-0.019267830571703004,0.6,0.0015,1.1478192596060144,1.1435628120805588,1.1405963613412686
original,25.0,2020-08-31,-0.043887438112893064,-0.044887438112893065,0.011787753560791092,0.4,0.001,1.0974444128852687,1.0922312071250866,1.1540414301610946
original,25.0,2020-09-30,0.019867546037187787,0.018867546037187787,0.0,0.4,0.001,1.1192479402815214,1.1128389297087724,1.1540414301610946
original,25.0,2020-10-30,0.19099844752150652,0.18999844752150652,0.09999992152190984,0.4,0.001,1.3330225592669358,1.3242765986949343,1.2694454826102366
original,25.0,2020-11-30,0.0867368243599322,0.0862368243599322,0.07899367300080029,0.2,0.0005,1.4486447028578995,1.4384780071405578,1.3697236439558926
original,25.0,2020-12-31,-0.010446511000703951,-0.01144651100070395,0.07152509178092115,0.4,0.001,1.433511420033383,1.4220124528075528,1.4676932533043356
original,25.0,2021-01-29,0.047853419226916126,0.046353419226916125,0.0405614597740207,0.6,0.0015,1.5021098429828124,1.4879275921784367,1.527225034158841
original,25.0,2021-02-26,0.09784403634891822,0.09634403634891822,0.010120090457421904,0.6,0.0015,1.6490823330596904,1.6312805422038346,1.5426806896533676
original,25.0,2021-03-31,0.22357642653919055,0.22157642653919055,0.043413889626719326,0.8,0.002,2.0177782681540872,1.9927338554282736,1.6096544588432502
original,25.0,2021-04-29,-0.11128853999921769,-0.11278853999921769,-0.024893320280721554,0.6,0.0015,1.7932226706490688,1.7679763132675066,1.5695848148579736
original,25.0,2021-05-31,-0.008658609001528438,-0.009658609001528439,0.013493688030887352,0.4,0.001,1.7776958566912417,1.7509001213336919,1.5907643026876852
original,25.0,2021-06-30,-0.01998526793692541,-0.02248526793692541,-0.018366835445568275,1.0,0.0025,1.7421681286849051,1.7115306629747087,1.5615469965075364
original,25.0,2021-07-30,-0.0014419534690998548,-0.002941953469099855,0.031606072904810656,0.6,0.0015,1.7396560033079929,1.7064954194032995,1.6109013647234416
original,25.0,2021-08-31,-0.0477260499852036,-0.0487260499852036,-0.023512496870347732,0.4,0.001,1.656629093937056,1.6233446382979333,1.5730250514269428
original,25.0,2021-09-30,-0.04036122389684136,-0.04186122389684136,-0.009120780645782034,0.6,0.0015,1.589765516162641,1.5553894449324066,1.5586778349825576
original,25.0,2021-10-29,0.09914385892579651,0.09714385892579651,0.016200124447986353,0.8,0.002,1.7473810042221658,1.7064859777455932,1.583928609883593
original,25.0,2021-11-30,0.07128198610514455,0.07028198610514455,0.05434796627143279,0.4,0.001,1.8719377926855238,1.8264212015221328,1.670011908549904
original,25.0,2021-12-30,-0.12911960859021115,-0.13061960859021116,-0.005810344722655847,0.6,0.0015,1.6302339175887453,1.5878547790584487,1.6603085636702886
original,25.0,2022-01-26,0.026329421503711647,0.024829421503711646,-0.021547113920495353,0.6,0.0015,1.6731570335545862,1.627280294654374,1.6245337059057108
original,25.0,2022-02-25,-0.044249690237236815,-0.04624969023723682,-0.002888258520167497,0.8,0.002,1.5991203531015419,1.5520190850974498,1.6198416325883294
original,25.0,2022-03-31,-0.07955656275849528,-0.08105656275849528,-0.06770461919917925,0.6,0.0015,1.4718998343716319,1.426217752723866,1.5101708716909596
original,25.0,2022-04-29,-0.011182542480025148,-0.01218254248002515,0.008155502213641919,0.4,0.001,1.4554402519474292,1.4088427943655415,1.5224870735780127
original,25.0,2022-05-31,-0.0032801345284451332,-0.005280134528445134,-0.10785825893152212,0.8,0.002,1.4506662121229277,1.401403914881861,1.35827426857614
