ticker,company_name,theme,price_n,price_first,price_last,price_missing_ratio,revenue_n,revenue_first,revenue_last,revenue_yoy_n_nonnull,flow_n,flow_first,flow_last,valuation_n,valuation_first,valuation_last,tier2_complete
2330.TW,台積電 TSMC,indirect,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2408.TW,南亞科 Nanya Tech,memory_hbm,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2313.TW,華通 Compeq Manufacturing,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2344.TW,華邦電 Winbond,memory_hbm,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2308.TW,台達電 Delta Electronics,power_grid_energy,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3037.TW,欣興 Unimicron,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
8299.TWO,群聯 Phison,memory_hbm,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2023,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
3189.TW,景碩 Kinsus,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3105.TWO,穩懋 WIN Semi,semi_equipment,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
3017.TW,奇鋐 Auras Technology,thermal,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2383.TW,台光電 Elite Material,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
8046.TW,南電 Nan Ya PCB,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,101,2018-01-01,2026-05-01,89,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2327.TW,國巨 Yageo,passive_components,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2007,2018-01-02,2026-04-30,2010,2018-01-02,2026-04-30,True
3260.TWO,威剛 ADATA,memory_hbm,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2021,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2017,2018-01-02,2026-04-30,2017,2018-01-02,2026-04-30,True
6669.TW,緯穎 Wiwynn,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,1725,2019-03-27,2026-04-30,1726,2019-03-27,2026-04-30,True
6285.TW,啟碁 Wistron NeWeb,leo_satellite,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
4979.TWO,華星光通 PCL Tech,optical_communication,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
3653.TW,健策 KEDGE,thermal,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
8358.TW,金居 Co-Tech Development,pcb_substrate,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2023,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
3450.TWO,聯鈞 Browave,optical_communication,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2024,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
2382.TW,廣達 Quanta,ai_server_assembly,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2025,2018-01-02,2026-04-30,2024,2018-01-02,2026-04-30,True
3324.TWO,雙鴻 Asia Vital Components,thermal,2018,2018-01-02,2026-04-30,0.0,100,2018-01-01,2026-04-01,88,2022,2018-01-02,2026-04-30,2021,2018-01-02,2026-04-30,True
