rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes,rebalance_date,fwd_return_1m
1,2020-06-30,2421.TW,建準 Sunon,thermal,1.595,3.5,Neutral,No urgency.,2.368,0.086,-0.0,0.1,0.0,0.0,0.959,3,residual alpha +2.37; revenue accel +0.09,valuation penalty -0.01,overbought(high),2.5,,2020-06-30,0.12017620087638692
2,2020-06-30,2308.TW,台達電 Delta Electronics,power_grid_energy,1.408,2.5,Neutral,No urgency.,2.29,-0.46,0.0,0.667,0.0,0.0,1.089,3,residual alpha +2.29,valuation penalty -0.04,price_up_revenue_down(high),2.5,,2020-06-30,0.2303225947877936
3,2020-06-30,3189.TW,景碩 Kinsus,pcb_substrate,1.351,3.5,Neutral,No urgency.,2.016,0.996,0.0,0.175,0.0,0.0,1.837,3,residual alpha +2.02; revenue accel +1.00,,overbought(high),2.5,,2020-06-30,0.10099595604801048
4,2020-06-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,1.184,2.5,Neutral,No urgency.,-0.162,1.666,-0.0,-0.096,0.0,0.0,0.225,0,CAPEX context +0.50; revenue accel +1.67,,,2.5,,2020-06-30,0.02238820290089394
5,2020-06-30,3231.TW,緯創 Wistron,ai_server_assembly,1.137,2.5,Neutral,No urgency.,2.092,-0.534,0.0,1.0,0.0,0.0,1.421,3,residual alpha +2.09,,overbought(high),2.5,,2020-06-30,0.01744892884016802
6,2020-06-30,5347.TWO,世界先進 Vanguard,indirect,1.034,3.5,Neutral,No urgency.,0.575,0.727,0.0,0.119,0.0,0.0,0.387,0,residual alpha +0.58; revenue accel +0.73,valuation penalty -0.08,,2.5,,2020-06-30,0.273386464253484
7,2020-06-30,6442.TW,光聖 Luxnet Corp,optical_communication,0.826,3.5,Neutral,No urgency.,0.162,1.601,-0.0,-0.024,0.0,0.0,0.913,0,residual alpha +0.16; revenue accel +1.60,,,2.5,,2020-06-30,0.002777616204471922
8,2020-06-30,2382.TW,廣達 Quanta,ai_server_assembly,0.634,2.5,Neutral,No urgency.,-0.09,0.003,-0.0,0.779,0.0,0.0,0.057,0,revenue accel +0.00,,,2.5,,2020-06-30,0.15211265573020327
9,2020-06-30,5536.TW,聖暉 Acter Group,facility_cleanroom,0.605,3.5,Neutral,No urgency.,0.64,0.467,-0.0,-0.039,0.0,0.0,0.464,0,CAPEX context +0.50; residual alpha +0.64; revenue accel +0.47,,,2.5,,2020-06-30,-0.009346389648232423
10,2020-06-30,3037.TW,欣興 Unimicron,pcb_substrate,0.467,2.5,Neutral,No urgency.,1.107,-0.082,0.0,0.484,0.0,0.0,1.042,3,residual alpha +1.11,valuation penalty -0.03,overbought(high),2.5,,2020-06-30,0.310635789171384
11,2020-06-30,1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,0.455,3.5,Neutral,No urgency.,0.201,0.462,-0.0,-0.027,0.0,0.0,0.18,0,residual alpha +0.20; revenue accel +0.46,,,2.5,,2020-06-30,0.10669072203619945
12,2020-06-30,3081.TWO,聯亞 LandMark Optoelectronics,optical_communication,0.064,2.5,Neutral,No urgency.,-1.272,2.885,0.0,-0.049,0.0,0.0,1.5,2,revenue accel +2.88,valuation penalty -0.18,valuation_extreme(medium),2.5,,2020-06-30,-0.09169542571171063
13,2020-06-30,2356.TW,英業達 Inventec,ai_server_assembly,0.027,2.5,Neutral,No urgency.,-0.245,0.146,-0.0,0.756,0.0,0.0,0.629,0,revenue accel +0.15,,,2.5,,2020-06-30,0.04506207147663477
14,2020-06-30,2436.TW,偉詮電 Weltrend,semi_equipment,-0.048,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.142,1.002,-0.0,-0.014,0.0,0.0,1.178,2,CAPEX context +0.50; residual alpha +0.14; revenue accel +1.00,valuation penalty -0.12,valuation_extreme(medium),2.5,,2020-06-30,0.12030091129600051
15,2020-06-30,4979.TWO,華星光通 PCL Tech,optical_communication,-0.067,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,2.349,-0.804,-0.0,-0.038,0.0,0.0,1.574,3,residual alpha +2.35,,overbought(high),2.5,,2020-06-30,0.16907217599232327
16,2020-06-30,2327.TW,國巨 Yageo,passive_components,-0.154,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.046,1.372,0.0,-0.122,0.0,0.0,1.45,3,residual alpha +0.05; revenue accel +1.37,valuation penalty -0.11,overbought(high),2.5,,2020-06-30,0.020997503018288288
17,2020-06-30,6187.TWO,萬潤 Wan Run,semi_equipment,-0.17,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.014,1.38,-0.0,-0.021,0.0,0.0,0.514,0,CAPEX context +0.50; revenue accel +1.38,valuation penalty -0.10,,2.5,,2020-06-30,0.5404161807011574
18,2020-06-30,2377.TW,微星 MSI,ai_server_assembly,-0.203,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.103,-0.362,-0.0,0.204,0.0,0.0,0.148,0,residual alpha +0.10,,,2.5,,2020-06-30,0.21395358290662636
19,2020-06-30,3653.TW,健策 KEDGE,thermal,-0.304,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.49,0.956,0.0,-0.036,0.0,0.0,1.714,3,residual alpha +0.49; revenue accel +0.96,valuation penalty -0.16,overbought(high),2.5,,2020-06-30,0.12345685588279509
20,2020-06-30,1514.TW,亞力 Allis Electric,power_grid_energy,-0.454,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.599,-0.375,-0.0,-0.041,0.0,0.0,0.636,0,residual alpha +0.60,,,2.5,,2020-06-30,0.11711699437803458
21,2020-06-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.551,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.111,-0.166,0.0,-0.065,0.0,0.0,0.209,0,,,,2.5,,2020-06-30,0.11111195623390735
22,2020-06-30,2376.TW,技嘉 GIGABYTE,ai_server_assembly,-0.592,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.314,-0.654,0.0,-0.07,0.0,0.0,0.182,0,residual alpha +0.31,,,2.5,,2020-06-30,0.3219025898728025
23,2020-06-30,3363.TWO,上詮 LuxNet,optical_communication,-0.65,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.977,0.131,0.0,-0.022,0.0,0.0,1.736,3,residual alpha +0.98; revenue accel +0.13,,overbought(high),2.5,,2020-06-30,-0.08909088064958237
24,2020-06-30,8299.TWO,群聯 Phison,memory_hbm,-0.714,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.549,0.586,0.0,-0.113,0.0,0.0,0.639,0,revenue accel +0.59,,,2.5,,2020-06-30,0.045107799702082785
25,2020-06-30,3413.TW,京鼎 KE Holdings,semi_equipment,-0.729,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.032,0.31,0.0,0.025,0.0,0.0,1.032,3,CAPEX context +0.50; revenue accel +0.31,valuation penalty -0.03,overbought(high),2.5,,2020-06-30,0.1762967347164559
26,2020-06-30,2357.TW,華碩 ASUS,ai_server_assembly,-0.767,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.413,-0.43,0.0,-0.082,0.0,0.0,0.668,0,residual alpha +0.41,,,2.5,,2020-06-30,0.0023147866683159712
27,2020-06-30,3260.TWO,威剛 ADATA,memory_hbm,-0.777,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.766,0.307,0.0,-0.03,0.0,0.0,0.288,0,revenue accel +0.31,,,2.5,,2020-06-30,0.08815740692655671
28,2020-06-30,2408.TW,南亞科 Nanya Tech,memory_hbm,-0.844,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.785,1.498,0.0,-0.604,0.0,0.0,0.952,3,revenue accel +1.50,valuation penalty -0.01,excessive_drawdown(high),2.5,,2020-06-30,0.018440933191665954
29,2020-06-30,3450.TWO,聯鈞 Browave,optical_communication,-0.909,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.424,0.19,0.0,-0.011,0.0,0.0,0.664,0,revenue accel +0.19,valuation penalty -0.13,,2.5,,2020-06-30,-0.05346553613892557
30,2020-06-30,6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,-1.061,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.788,0.002,-0.0,0.032,0.0,0.0,0.307,0,revenue accel +0.00,valuation penalty -0.06,,2.5,,2020-06-30,-0.052264975708301464
31,2020-06-30,3017.TW,奇鋐 Auras Technology,thermal,-1.149,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.669,-1.191,0.0,-0.157,0.0,0.0,0.47,0,residual alpha +0.67,,,2.5,,2020-06-30,0.13053894445559555
32,2020-06-30,4977.TW,眾達-KY Applied Optoelectronics,optical_communication,-1.154,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.283,0.169,-0.0,-0.026,0.0,0.0,1.58,3,residual alpha +0.28; revenue accel +0.17,valuation penalty -0.14,overbought(high),2.5,,2020-06-30,0.0743801218422595
33,2020-06-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-1.154,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.707,-0.158,0.0,0.13,0.0,0.0,0.419,0,CAPEX context +0.50,valuation penalty -0.08,,2.5,,2020-06-30,0.08561652776377349
34,2020-06-30,2313.TW,華通 Compeq Manufacturing,pcb_substrate,-1.157,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.235,-0.06,-0.0,0.114,0.0,0.0,1.446,3,residual alpha +0.24,,overbought(high),2.5,,2020-06-30,0.041876848329328364
35,2020-06-30,8046.TW,南電 Nan Ya PCB,pcb_substrate,-1.188,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.427,0.623,0.0,-0.228,0.0,0.0,2.01,5,residual alpha +0.43; revenue accel +0.62,valuation penalty -0.10,overbought(high); valuation_extreme(medium),2.5,,2020-06-30,0.2711338003406376
36,2020-06-30,3324.TWO,雙鴻 Asia Vital Components,thermal,-1.19,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.395,-0.711,0.0,-0.015,0.0,0.0,0.069,0,,,,2.5,,2020-06-30,0.37087410284371525
37,2020-06-30,3680.TW,家登 Gudeng Precision,semi_equipment,-1.192,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.061,1.103,0.0,0.03,0.0,0.0,3.386,8,CAPEX context +0.50; residual alpha +1.06; revenue accel +1.10,valuation penalty -0.20,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,,2020-06-30,0.15587040131479601
38,2020-06-30,6213.TW,聯茂 ITEQ,pcb_substrate,-1.214,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.061,0.147,-0.0,0.013,0.0,0.0,0.314,0,revenue accel +0.15,valuation penalty -0.06,,2.5,,2020-06-30,-0.06030628562928364
39,2020-06-30,2383.TW,台光電 Elite Material,pcb_substrate,-1.228,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.482,-0.549,-0.0,-0.001,0.0,0.0,1.16,3,residual alpha +0.48,,overbought(high),2.5,,2020-06-30,0.10971801255528191
40,2020-06-30,6285.TW,啟碁 Wistron NeWeb,leo_satellite,-1.26,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.392,-0.43,-0.0,-0.091,0.0,0.0,0.347,0,,,,2.5,,2020-06-30,0.036556702708002264
41,2020-06-30,3587.TW,閎康 Materials Analysis Technology,inspection,-1.291,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.015,-0.317,-0.0,-0.025,0.0,0.0,0.934,3,CAPEX context +0.50,,overbought(high),2.5,,2020-06-30,0.2140403754984146
42,2020-06-30,2451.TW,創見 Transcend,memory_hbm,-1.312,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.253,-0.275,0.0,-0.082,0.0,0.0,1.208,3,residual alpha +0.25,,revenue_not_confirmed(high),2.5,,2020-06-30,-0.02355074298407056
43,2020-06-30,2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,-1.371,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.302,1.282,-0.0,-0.922,0.0,0.0,0.428,0,revenue accel +1.28,valuation penalty -0.09,,2.5,,2020-06-30,0.19940487840330934
