ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
1721.TW,2022-01-03,1340000,1021000,319000,0,0,319000
1721.TW,2022-01-04,331000,836000,-505000,0,0,-505000
1721.TW,2022-01-05,2688000,845000,1843000,0,0,1843000
1721.TW,2022-01-06,1232000,3025000,-1793000,0,0,-1793000
1721.TW,2022-01-07,7079000,6716075,362925,0,0,362925
1721.TW,2022-01-10,1207000,1110000,97000,0,1000,98000
1721.TW,2022-01-11,720000,1186000,-466000,0,0,-466000
1721.TW,2022-01-12,482000,687000,-205000,0,149000,-56000
1721.TW,2022-01-13,644000,511000,133000,0,0,133000
1721.TW,2022-01-14,2291000,1035000,1256000,0,-1000,1255000
1721.TW,2022-01-17,2806000,1920000,886000,0,-5000,881000
1721.TW,2022-01-18,967000,1027000,-60000,0,0,-60000
1721.TW,2022-01-19,718000,1075000,-357000,0,1000,-356000
1721.TW,2022-01-20,732000,968000,-236000,0,0,-236000
1721.TW,2022-01-21,2729000,1218000,1511000,0,-5000,1506000
1721.TW,2022-01-24,2592000,1774000,818000,0,-672,817328
1721.TW,2022-01-25,1511000,3460000,-1949000,0,-2230,-1951230
1721.TW,2022-01-26,1913000,820000,1093000,0,1960,1094960
1721.TW,2022-02-07,1478000,896000,582000,0,2285,584285
1721.TW,2022-02-08,1204000,688000,516000,0,-237,515763
1721.TW,2022-02-09,807000,3893000,-3086000,0,1327,-3084673
1721.TW,2022-02-10,941000,1094000,-153000,0,177,-152823
1721.TW,2022-02-11,743000,322000,421000,0,1114,422114
1721.TW,2022-02-14,687000,633000,54000,0,-197,53803
1721.TW,2022-02-15,1713001,1152000,561001,0,-1235,559766
1721.TW,2022-02-16,766000,1451000,-685000,0,2302,-682698
1721.TW,2022-02-17,1237000,217000,1020000,0,-491,1019509
1721.TW,2022-02-18,936000,569000,367000,0,518,367518
1721.TW,2022-02-21,261000,1163000,-902000,0,-363,-902363
1721.TW,2022-02-22,481000,458000,23000,0,-421,22579
1721.TW,2022-02-23,951000,94000,857000,0,-1801,855199
1721.TW,2022-02-24,619000,927000,-308000,0,2109,-305891
1721.TW,2022-02-25,524000,208000,316000,0,-145,315855
1721.TW,2022-03-01,1000000,124000,876000,0,862,876862
1721.TW,2022-03-02,228000,314000,-86000,0,33,-85967
1721.TW,2022-03-03,339000,893000,-554000,0,-3,-554003
1721.TW,2022-03-04,202075,895000,-692925,0,108,-692817
1721.TW,2022-03-07,1760075,696000,1064075,0,0,1064075
1721.TW,2022-03-08,1304000,766000,538000,0,0,538000
1721.TW,2022-03-09,1077000,1878000,-801000,0,-205,-801205
1721.TW,2022-03-10,1530000,167000,1363000,0,130,1363130
1721.TW,2022-03-11,393000,540000,-147000,0,-275,-147275
1721.TW,2022-03-14,584000,219000,365000,0,-156,364844
1721.TW,2022-03-15,373000,824000,-451000,0,-394,-451394
1721.TW,2022-03-16,911000,427000,484000,0,263,484263
1721.TW,2022-03-17,3201000,5534000,-2333000,0,628,-2332372
1721.TW,2022-03-18,2535000,2739000,-204000,0,239,-203761
1721.TW,2022-03-21,2323000,3168000,-845000,0,29830,-815170
1721.TW,2022-03-22,6064000,5216000,848000,0,-30130,817870
1721.TW,2022-03-23,2734000,3640000,-906000,0,-79,-906079
1721.TW,2022-03-24,4389000,3784000,605000,0,-659,604341
1721.TW,2022-03-25,2074000,2942000,-868000,0,520090,-347910
1721.TW,2022-03-28,2525000,2581000,-56000,0,50419,-5581
1721.TW,2022-03-29,2118000,2617000,-499000,0,4843,-494157
1721.TW,2022-03-30,1038000,1405000,-367000,0,-377,-367377
1721.TW,2022-03-31,1498000,1328000,170000,0,636,170636
1721.TW,2022-04-01,620000,696000,-76000,0,-404,-76404
1721.TW,2022-04-06,675000,477000,198000,0,1000,199000
1721.TW,2022-04-07,715000,612000,103000,0,-399,102601
1721.TW,2022-04-08,3687000,1869000,1818000,0,0,1818000
