universe_name,decision_zone,n_obs,n_unique_tickers,hit_rate,mean_forward_1m_return,median_forward_1m_return,avg_alpha_score,avg_confidence_score
original,Avoid,3329,59,0.5533193151096425,0.03288059744700342,0.012930953943632417,-1.3801868428957644,2.3398918594172424
original,Avoid Chasing,201,46,0.6368159203980099,0.1065830138227015,0.0710382513661203,1.069094527363184,2.4203980099502487
original,Neutral,548,59,0.6003649635036497,0.05044757125693248,0.020051117217233516,0.6741058394160583,2.3184306569343067
original,Strong Candidate,17,5,0.7058823529411765,0.061638093018473894,0.08085109534773482,3.3847647058823527,3.588235294117647
original,Watchlist,35,18,0.4,0.006108561188037306,-0.021220192651362213,2.5765428571428575,2.6857142857142855
expanded_liquid_40,Avoid,2220,39,0.559009009009009,0.04171828214081078,0.015613940127594317,-1.3845626126126125,2.306981981981982
expanded_liquid_40,Avoid Chasing,153,34,0.6013071895424836,0.09729019862364346,0.06311214720399883,1.000346405228758,2.415032679738562
expanded_liquid_40,Neutral,327,39,0.5626911314984709,0.04493417232598959,0.012783453483643958,0.6672538226299695,2.2003058103975537
expanded_liquid_40,Strong Candidate,5,2,0.6,0.013830049431120761,0.125683015907041,3.3472,3.6
expanded_liquid_40,Watchlist,25,12,0.64,0.027546122135537268,0.023869583316522558,2.56372,2.66
expanded_liquid_60,Avoid,3329,59,0.5533193151096425,0.03288059744700342,0.012930953943632417,-1.3801868428957644,2.3398918594172424
expanded_liquid_60,Avoid Chasing,201,46,0.6368159203980099,0.1065830138227015,0.0710382513661203,1.069094527363184,2.4203980099502487
expanded_liquid_60,Neutral,548,59,0.6003649635036497,0.05044757125693248,0.020051117217233516,0.6741058394160583,2.3184306569343067
expanded_liquid_60,Strong Candidate,17,5,0.7058823529411765,0.061638093018473894,0.08085109534773482,3.3847647058823527,3.588235294117647
expanded_liquid_60,Watchlist,35,18,0.4,0.006108561188037306,-0.021220192651362213,2.5765428571428575,2.6857142857142855
expanded_all_available,Avoid,4408,77,0.5428765880217786,0.028730338356618076,0.009937897927245642,-1.3651642468239564,2.358212341197822
expanded_all_available,Avoid Chasing,230,54,0.6478260869565218,0.10764465067319065,0.0700395270487918,1.0840260869565217,2.4260869565217393
expanded_all_available,Neutral,681,77,0.5697503671071953,0.0405377212215423,0.015748005862906922,0.6556754772393538,2.366372980910426
expanded_all_available,Strong Candidate,26,9,0.6538461538461539,0.0961998638054132,0.05953197791847464,3.4127692307692308,3.5961538461538463
expanded_all_available,Watchlist,45,23,0.5111111111111111,0.04647666856985623,0.012783453483643958,2.506644444444445,2.7111111111111112
