ticker,date,per,pbr,dividend_yield
1721.TW,2020-01-02,176.0,0.84,0.0
1721.TW,2020-01-03,176.4,0.84,0.0
1721.TW,2020-01-06,176.4,0.84,0.0
1721.TW,2020-01-07,176.4,0.84,0.0
1721.TW,2020-01-08,176.0,0.84,0.0
1721.TW,2020-01-09,176.4,0.84,0.0
1721.TW,2020-01-10,179.8,0.86,0.0
1721.TW,2020-01-13,192.4,0.92,0.0
1721.TW,2020-01-14,197.6,0.94,0.0
1721.TW,2020-01-15,204.0,0.97,0.0
1721.TW,2020-01-16,214.0,1.02,0.0
1721.TW,2020-01-17,215.0,1.03,0.0
1721.TW,2020-01-20,220.0,1.05,0.0
1721.TW,2020-01-30,225.0,1.07,0.0
1721.TW,2020-01-31,227.0,1.08,0.0
1721.TW,2020-02-03,222.0,1.06,0.0
1721.TW,2020-02-04,221.0,1.05,0.0
1721.TW,2020-02-05,214.0,1.02,0.0
1721.TW,2020-02-06,213.0,1.02,0.0
1721.TW,2020-02-07,210.0,1.0,0.0
1721.TW,2020-02-10,209.0,1.0,0.0
1721.TW,2020-02-11,211.0,1.01,0.0
1721.TW,2020-02-12,205.0,0.98,0.0
1721.TW,2020-02-13,207.0,0.99,0.0
1721.TW,2020-02-14,206.0,0.98,0.0
1721.TW,2020-02-17,205.0,0.98,0.0
1721.TW,2020-02-18,206.0,0.98,0.0
1721.TW,2020-02-19,207.0,0.99,0.0
1721.TW,2020-02-20,206.0,0.98,0.0
1721.TW,2020-02-21,210.0,1.0,0.0
1721.TW,2020-02-24,218.0,1.04,0.0
1721.TW,2020-02-25,218.0,1.04,0.0
1721.TW,2020-02-26,214.0,1.02,0.0
1721.TW,2020-02-27,214.0,1.02,0.0
1721.TW,2020-03-02,213.0,1.02,0.0
1721.TW,2020-03-03,215.0,1.03,0.0
1721.TW,2020-03-04,214.0,1.02,0.0
1721.TW,2020-03-05,215.0,1.03,0.0
1721.TW,2020-03-06,215.0,1.03,0.0
1721.TW,2020-03-09,207.0,0.99,0.0
1721.TW,2020-03-10,203.0,0.97,0.0
1721.TW,2020-03-11,204.0,0.97,0.0
1721.TW,2020-03-12,197.2,0.94,0.0
1721.TW,2020-03-13,182.8,0.87,0.0
1721.TW,2020-03-16,182.6,0.87,0.0
1721.TW,2020-03-17,175.6,0.84,0.0
1721.TW,2020-03-18,175.2,0.84,0.0
1721.TW,2020-03-19,160.0,0.76,0.0
1721.TW,2020-03-20,166.2,0.79,0.0
1721.TW,2020-03-23,0.0,0.81,0.0
1721.TW,2020-03-24,0.0,0.83,0.0
1721.TW,2020-03-25,0.0,0.85,0.0
1721.TW,2020-03-26,0.0,0.86,0.0
1721.TW,2020-03-27,0.0,0.84,0.0
1721.TW,2020-03-30,0.0,0.82,0.0
1721.TW,2020-03-31,0.0,0.82,0.0
1721.TW,2020-04-01,0.0,0.82,0.0
1721.TW,2020-04-06,0.0,0.81,0.0
1721.TW,2020-04-07,0.0,0.82,0.0
1721.TW,2020-04-08,0.0,0.84,0.0
1721.TW,2020-04-09,0.0,0.85,0.0
1721.TW,2020-04-10,0.0,0.9,0.0
1721.TW,2020-04-13,0.0,0.88,0.0
1721.TW,2020-04-14,0.0,0.89,0.0
1721.TW,2020-04-15,0.0,0.92,0.0
1721.TW,2020-04-16,0.0,0.93,0.0
1721.TW,2020-04-17,0.0,0.93,0.0
1721.TW,2020-04-20,0.0,0.93,0.0
1721.TW,2020-04-21,0.0,0.91,0.0
1721.TW,2020-04-22,0.0,0.9,0.0
1721.TW,2020-04-23,0.0,0.92,0.0
1721.TW,2020-04-24,0.0,0.92,0.0
1721.TW,2020-04-27,0.0,0.96,0.0
1721.TW,2020-04-28,0.0,0.96,0.0
1721.TW,2020-04-29,0.0,0.96,0.0
1721.TW,2020-04-30,0.0,0.96,0.0
1721.TW,2020-05-04,0.0,0.96,0.0
1721.TW,2020-05-05,0.0,0.97,0.0
1721.TW,2020-05-06,0.0,0.97,0.0
1721.TW,2020-05-07,0.0,1.0,0.0
1721.TW,2020-05-08,0.0,0.99,0.0
1721.TW,2020-05-11,0.0,1.0,0.0
1721.TW,2020-05-12,0.0,0.97,0.0
1721.TW,2020-05-13,0.0,0.99,0.0
1721.TW,2020-05-14,0.0,0.95,0.0
1721.TW,2020-05-15,0.0,0.94,0.0
1721.TW,2020-05-18,0.0,0.95,0.0
1721.TW,2020-05-19,0.0,0.96,0.0
1721.TW,2020-05-20,0.0,0.96,0.0
1721.TW,2020-05-21,0.0,0.96,0.0
1721.TW,2020-05-22,0.0,0.95,0.0
1721.TW,2020-05-25,0.0,0.95,0.0
1721.TW,2020-05-26,0.0,0.95,0.0
1721.TW,2020-05-27,0.0,0.94,0.0
1721.TW,2020-05-28,0.0,0.93,0.0
1721.TW,2020-05-29,0.0,0.94,0.0
1721.TW,2020-06-01,0.0,0.95,0.0
1721.TW,2020-06-02,0.0,0.95,0.0
1721.TW,2020-06-03,0.0,0.95,0.0
1721.TW,2020-06-04,0.0,0.95,0.0
1721.TW,2020-06-05,0.0,0.96,0.0
1721.TW,2020-06-08,0.0,0.96,0.0
1721.TW,2020-06-09,0.0,0.96,0.0
1721.TW,2020-06-10,0.0,0.96,0.0
1721.TW,2020-06-11,0.0,0.95,0.0
1721.TW,2020-06-12,0.0,0.93,0.0
1721.TW,2020-06-15,0.0,0.92,0.0
1721.TW,2020-06-16,0.0,0.92,0.0
1721.TW,2020-06-17,0.0,0.93,0.0
1721.TW,2020-06-18,0.0,0.95,0.0
1721.TW,2020-06-19,0.0,0.95,0.0
1721.TW,2020-06-22,0.0,0.95,0.0
1721.TW,2020-06-23,0.0,0.95,0.0
1721.TW,2020-06-24,0.0,0.94,0.0
1721.TW,2020-06-29,0.0,0.93,0.0
1721.TW,2020-06-30,0.0,0.93,0.0
1721.TW,2020-07-01,0.0,0.93,0.0
1721.TW,2020-07-02,0.0,0.93,0.0
1721.TW,2020-07-03,0.0,0.94,0.0
1721.TW,2020-07-06,0.0,0.94,0.0
1721.TW,2020-07-07,0.0,0.93,0.0
1721.TW,2020-07-08,0.0,0.95,0.0
1721.TW,2020-07-09,0.0,0.95,0.0
1721.TW,2020-07-10,0.0,0.94,0.0
1721.TW,2020-07-13,0.0,0.94,0.0
1721.TW,2020-07-14,0.0,1.03,0.0
1721.TW,2020-07-15,0.0,1.04,0.0
1721.TW,2020-07-16,0.0,1.0,0.0
1721.TW,2020-07-17,0.0,1.02,0.0
1721.TW,2020-07-20,0.0,1.03,0.0
1721.TW,2020-07-21,0.0,1.03,0.0
1721.TW,2020-07-22,0.0,1.02,0.0
1721.TW,2020-07-23,0.0,1.0,0.0
1721.TW,2020-07-24,0.0,0.96,0.0
1721.TW,2020-07-27,0.0,0.95,0.0
1721.TW,2020-07-28,0.0,0.94,0.0
1721.TW,2020-07-29,0.0,0.95,0.0
1721.TW,2020-07-30,0.0,0.96,0.0
1721.TW,2020-07-31,0.0,0.96,0.0
1721.TW,2020-08-03,0.0,0.98,0.0
1721.TW,2020-08-04,0.0,0.99,0.0
1721.TW,2020-08-05,0.0,1.03,0.0
1721.TW,2020-08-06,0.0,1.02,0.0
1721.TW,2020-08-07,0.0,1.0,0.0
1721.TW,2020-08-10,0.0,1.01,0.0
1721.TW,2020-08-11,0.0,1.01,0.0
1721.TW,2020-08-12,0.0,1.01,0.0
1721.TW,2020-08-13,3.85,0.77,0.0
1721.TW,2020-08-14,3.92,0.79,0.0
1721.TW,2020-08-17,4.23,0.85,0.0
1721.TW,2020-08-18,4.15,0.83,0.0
1721.TW,2020-08-19,4.11,0.82,0.0
1721.TW,2020-08-20,3.92,0.79,0.0
1721.TW,2020-08-21,4.06,0.81,0.0
1721.TW,2020-08-24,3.96,0.79,0.0
1721.TW,2020-08-25,3.96,0.79,0.0
1721.TW,2020-08-26,3.96,0.79,0.0
1721.TW,2020-08-27,3.96,0.79,0.0
1721.TW,2020-08-28,3.98,0.8,0.0
1721.TW,2020-08-31,3.98,0.8,0.0
1721.TW,2020-09-01,3.96,0.79,0.0
1721.TW,2020-09-02,4.02,0.81,0.0
1721.TW,2020-09-03,4.11,0.82,0.0
1721.TW,2020-09-04,4.06,0.81,0.0
1721.TW,2020-09-07,4.09,0.82,0.0
1721.TW,2020-09-08,4.04,0.81,0.0
