ticker,company_name,theme,risk_flag,severity,description
2408.TW,南亞科 Nanya Tech,memory_hbm,excessive_drawdown,high,120d drawdown -34.0%
2408.TW,南亞科 Nanya Tech,memory_hbm,valuation_extreme,high,PER=101.2
2313.TW,華通 Compeq Manufacturing,pcb_substrate,overbought,high,3m return 43.0%
2313.TW,華通 Compeq Manufacturing,pcb_substrate,valuation_extreme,medium,PER=44.4
2344.TW,華邦電 Winbond,memory_hbm,excessive_drawdown,high,120d drawdown -30.6%
2344.TW,華邦電 Winbond,memory_hbm,valuation_extreme,high,PER=102.0
2308.TW,台達電 Delta Electronics,power_grid_energy,overbought,high,3m return 71.8%
2308.TW,台達電 Delta Electronics,power_grid_energy,valuation_extreme,high,PER=79.8
2308.TW,台達電 Delta Electronics,power_grid_energy,valuation_extreme,medium,PBR=18.77
3037.TW,欣興 Unimicron,pcb_substrate,overbought,high,3m return 160.5%
3037.TW,欣興 Unimicron,pcb_substrate,valuation_extreme,high,PER=129.8
3037.TW,欣興 Unimicron,pcb_substrate,valuation_extreme,medium,PBR=12.37
8299.TWO,群聯 Phison,memory_hbm,valuation_extreme,medium,PER=45.3
3189.TW,景碩 Kinsus,pcb_substrate,overbought,high,3m return 155.2%
3189.TW,景碩 Kinsus,pcb_substrate,valuation_extreme,high,PER=151.3
3189.TW,景碩 Kinsus,pcb_substrate,valuation_extreme,medium,PBR=7.37
3105.TWO,穩懋 WIN Semi,semi_equipment,overbought,high,3m return 132.5%
3105.TWO,穩懋 WIN Semi,semi_equipment,valuation_extreme,high,PER=134.0
3017.TW,奇鋐 Auras Technology,thermal,overbought,high,3m return 106.2%
3017.TW,奇鋐 Auras Technology,thermal,valuation_extreme,medium,PER=58.0
3017.TW,奇鋐 Auras Technology,thermal,valuation_extreme,medium,PBR=24.93
2383.TW,台光電 Elite Material,pcb_substrate,overbought,high,3m return 152.5%
2383.TW,台光電 Elite Material,pcb_substrate,valuation_extreme,high,PER=98.6
2383.TW,台光電 Elite Material,pcb_substrate,valuation_extreme,medium,PBR=33.97
8046.TW,南電 Nan Ya PCB,pcb_substrate,overbought,high,3m return 163.1%
8046.TW,南電 Nan Ya PCB,pcb_substrate,valuation_extreme,high,PER=333.9
8046.TW,南電 Nan Ya PCB,pcb_substrate,valuation_extreme,medium,PBR=14.08
3260.TWO,威剛 ADATA,memory_hbm,overbought,high,3m return 43.3%
2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,overbought,high,3m return 115.2%
2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,valuation_extreme,high,PER=73.1
2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,valuation_extreme,medium,PBR=20.98
6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,overbought,high,3m return 102.0%
6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,valuation_extreme,high,PER=83.3
6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,valuation_extreme,medium,PBR=15.67
4979.TWO,華星光通 PCL Tech,optical_communication,overbought,high,3m return 108.9%
4979.TWO,華星光通 PCL Tech,optical_communication,valuation_extreme,high,PER=112.2
