ticker,company_name,year_month,revenue,yoy_pct,mom_pct,source_url,notes
1504.TW,東元 TECO,2018-01,4485799000,,,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-02,4222993000,,-5.858621841950562,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-03,3566232000,,-15.552026726068458,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-04,4488763000,,25.86850771346341,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-05,4313688000,,-3.9002950256005975,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-06,4332559000,,0.43746789290277643,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-07,4439028000,,2.457416044420868,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-08,3955760000,,-10.886797740406228,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-09,4081151000,,3.1698333569276205,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-10,4187038000,,2.5945376684175514,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-11,4023075000,,-3.915966370498669,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2018-12,4363190000,,8.454105379591482,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-01,4472265000,-0.30170767794098774,2.4998911346973296,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-02,3969809000,-5.99536868756354,-11.234933529207236,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-03,3410332000,-4.371560795820351,-14.093297687621742,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-04,4099679000,-8.667955960250072,20.21348654617792,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-05,3883445000,-9.973901682272801,-5.274412947940554,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-06,4335615000,0.07053568110670927,11.643527847053313,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-07,4365723000,-1.6513750307499797,0.6944343536038122,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-08,4115430000,4.036392501061736,-5.733139734243331,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-09,3656358000,-10.408656773542557,-11.154897544120546,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-10,4086750000,-2.3952015720898667,11.771057429277976,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-11,3879865000,-3.5597148947011936,-5.062335596745582,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2019-12,3928027000,-9.973505623179369,1.241331850463867,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-01,4370102000,-2.2843682116332586,11.254377833960927,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-02,3799231000,-4.296881789526896,-13.06310470556522,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-03,3020654000,-11.426394849533716,-20.493015560254168,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-04,3693406000,-9.909873431554029,22.271733207444488,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-05,3409349000,-12.208129637473942,-7.690922687622215,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-06,3443947000,-20.566124990341628,1.014797839704884,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-07,4406855000,0.9421578052478452,27.959431431436087,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-08,3940025000,-4.262130567158229,-10.59326889584522,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-09,3678179000,0.5967960467766042,-6.645795394699272,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-10,3786157000,-7.355306784119408,2.9356374445071776,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-11,3589714000,-7.478378758023796,-5.188453621970779,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2020-12,3927983000,-0.0011201552331474574,9.423285531939317,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-01,4868158000,11.396896456879047,23.935312347329397,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-02,3939500000,3.6920366253065495,-19.076168029057396,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-03,3362861000,11.32890427039972,-14.637365147861402,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-04,4157489000,12.565176966734759,23.629522599952836,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-05,4105072000,20.406329771460776,-1.2607850555948596,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-06,4312815000,25.22884353330641,5.060642054512088,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-07,4397835000,-0.2046811161247608,1.9713342677578405,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-08,4251967000,7.917259408252475,-3.3168138413560255,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-09,4386806000,19.26570185953429,3.1712146401888797,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-10,4413724000,16.57530313719162,0.6136127287142301,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-11,4280930000,19.255461577161846,-3.0086611668513896,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
1504.TW,東元 TECO,2021-12,4594287000,16.963006204456587,7.319834708813278,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
